person_id,event_type,last_name,first_name,start_date,end_date,start_date_backup,end_date_backup,place_name,latitude,longitude,,,uri,geonames feature code
28406,place of birth,Szabó,József,1816-1-1,,1816,,Debrecen,47.53333,21.63333,,,"http://sws.geonames.org/721472/,http://d-nb.info/gnd/4090940-2",seat of a first-order administrative division (PPLA)
28406,,Szabó,József,1838-10-1,,,,,47.53333,21.63333,,,,
28406,trat auf in,Szabó,József,1839-1-1,,1839,,Budapest,47.49801,19.03991,,,"http://sws.geonames.org/3054643/,http://d-nb.info/gnd/4008684-7",capital of a political entity (PPLC)
28406,,Szabó,József,1839-6-1,,,,,47.49801,19.03991,,,,
28406,trat auf in,Szabó,József,1839-10-1,,1839,,Ungarn,47,20,,,http://sws.geonames.org/719819/,independent political entity (PCLI)
28406,,Szabó,József,1841-10-1,,,,,47,20,,,,
28406,wirkte in,Szabó,József,1842-1-1,1843,1842,1843,Kecskemét,46.90618,19.69128,,,http://sws.geonames.org/3050434/,seat of a first-order administrative division (PPLA)
28406,,Szabó,József,1846-10-1,,,,,46.90618,19.69128,,,,
28406,trat auf in,Szabó,József,1847-1-1,1848,1847,1848,Pressburg,48.14816,17.10674,,,http://sws.geonames.org/3060972/,capital of a political entity (PPLC)
28406,,Szabó,József,1847-2-1,,,,,48.14816,17.10674,,,,
28406,trat auf in,Szabó,József,1847-3-1,1848,1847,1848,Berlin,52.52437,13.41053,,,http://sws.geonames.org/2950159/,capital of a political entity (PPLC)
28406,,Szabó,József,1847-4-1,,,,,52.52437,13.41053,,,,
28406,trat auf in,Szabó,József,1847-5-1,1848,1847,1848,Paris,48.85341,2.3488,,,"http://sws.geonames.org/2988507/,http://d-nb.info/gnd/4044660-8",capital of a political entity (PPLC)
28406,,Szabó,József,1847-6-1,,,,,48.85341,2.3488,,,,
28406,trat auf in,Szabó,József,1847-7-1,1848,1847,1848,Brüssel,50.85045,4.34878,,,http://sws.geonames.org/2800866/,capital of a political entity (PPLC)
28406,,Szabó,József,1847-8-1,,,,,50.85045,4.34878,,,,
28406,trat auf in,Szabó,József,1847-9-1,1848,1847,1848,Prag,50.08804,14.42076,,,"http://sws.geonames.org/3067696/,http://d-nb.info/gnd/4076310-9",capital of a political entity (PPLC)
28406,,Szabó,József,1847-9-15,,,,,50.08804,14.42076,,,,
28406,trat auf in,Szabó,József,1847-10-1,1848,1847,1848,Italien,42.83333,12.83333,,,http://sws.geonames.org/3175395/,independent political entity (PCLI)
28406,,Szabó,József,1847-11-1,,,,,42.83333,12.83333,,,,
28406,trat auf in,Szabó,József,1847-12-1,1848,1847,1848,Wien,48.20849,16.37208,,,http://sws.geonames.org/2761369/,capital of a political entity (PPLC)
28406,,Szabó,József,1849-10-1,,,,,48.20849,16.37208,,,,
28406,wirkte in,Szabó,József,1850-1-1,1864,1850,1864,Arad,46.18333,21.31667,,,http://sws.geonames.org/686254/,seat of a first-order administrative division (PPLA)
28406,,Szabó,József,1855-10-1,,,,,46.18333,21.31667,,,,
28406,trat auf in,Szabó,József,1856-1-1,1856,1856,1856,Wien,48.20849,16.37208,,,http://sws.geonames.org/2761369/,capital of a political entity (PPLC)
28406,,Szabó,József,1856-4-1,,,,,48.20849,16.37208,,,,
28406,trat auf in,Szabó,József,1856-6-1,1856,1856,1856,Baden,48.00543,16.23264,,,http://sws.geonames.org/2782067/,seat of a third-order administrative division (PPLA3)
28406,,Szabó,József,1856-10-1,,,,,48.00543,16.23264,,,,
28406,wirkte in,Szabó,József,1857-1-1,1858,1857,1858,Timi_oara,45.75372,21.22571,,,http://sws.geonames.org/665087/,seat of a first-order administrative division (PPLA)
28406,,Szabó,József,1865-10-1,,,,,45.75372,21.22571,,,,
28406,wirkte in,Szabó,József,1866-1-1,1874,1866,1874,Debrecen,47.53333,21.63333,,,"http://sws.geonames.org/721472/,http://d-nb.info/gnd/4090940-2",seat of a first-order administrative division (PPLA)
28406,place of death,Szabó,József,1875-3-1,,1.3.1875,,Debrecen,47.53333,21.63333,,,"http://sws.geonames.org/721472/,http://d-nb.info/gnd/4090940-2",seat of a first-order administrative division (PPLA)
